이름,주행,가격,거주성,품질,디자인,연비,평균점수
포르쉐 타이칸 크로스투리스모,9.9,7.8,9,9.3,9.9,8.6,9.1
포르쉐 타이칸 GTS,9.9,9.9,7.8,9,9.9,8.6,9.2
포르쉐 타이칸,9.9,7.8,9,9.3,9.9,8.6,9.1
포르쉐 카이맨 GTS,9.8,9,6.6,9.6,9.9,8.7,8.9
포르쉐 박스터 GTS,9.8,9.2,7.3,9.4,9.8,8.1,8.9
포르쉐 마칸 GTS,9.7,8.6,9,9.5,9.8,8.4,9.2
포르쉐 마칸,9.7,8.6,9,9.5,9.8,8.4,9.2
포르쉐 911 터보 카브리올레,9.8,8.3,8.4,9.2,9.8,8.3,9
포르쉐 911 터보,9.8,8.3,8.4,9.2,9.8,8.3,9
포르쉐 911 타르가 GTS,9.8,8.3,8.4,9.2,9.8,8.3,9
포르쉐 911 타르가,9.8,8.3,8.4,9.2,9.8,8.3,9
포르쉐 911 카레라 카브리올레,9.8,8.3,8.4,9.2,9.8,8.3,9
포르쉐 911 카레라 GTS 카브리올레,9.8,8.3,8.4,9.2,9.8,8.3,9
포르쉐 911 카레라 GTS,9.8,8.3,8.4,9.2,9.8,8.3,9
포르쉐 911 카레라,9.8,8.3,8.4,9.2,9.8,8.3,9
포르쉐 911 GT3,9.8,8.3,8.4,9.2,9.8,8.3,9
제네시스 일렉트리파이드 GV70,9.8,7.3,9.3,9.6,9.7,8.6,9.1
기아 스포티지 하이브리드,9.4,7,9.2,9,9.5,9.1,8.9
기아 스포티지,8.9,7.7,9.2,8.8,9.6,7.9,8.7
쉐보레 트레일블레이저,9.6,7.3,8.7,9,9.9,8.6,8.9
기아 모닝,8.2,7.6,9.1,8.1,9.8,8.9,8.6
기아 K3 GT,9.2,8.9,9,9.1,9.6,8.9,9.1
기아 K3,9.2,8.9,9,9.1,9.6,8.9,9.1
BMW i4 M50,9.9,9.2,8.2,9.6,9.8,9.4,9.4
BMW i4,9.9,9.2,8.2,9.6,9.8,9.4,9.4
BMW X7,9.8,9.1,9.7,9.6,9.7,8.1,9.3
BMW X6,9.8,8.2,8.6,9.4,9.9,7.9,9
BMW X5 플러그인 하이브리드,9.8,8.2,9.1,9.6,9.7,8.5,9.2
BMW X5,9.8,8.2,9.1,9.6,9.7,8.5,9.2
M4 컨버터블,9.9,7.5,8.7,9.2,9.3,6.8,8.6
BMW M4,9.9,7.5,8.7,9.2,9.3,6.8,8.6
BMW M2,10,8.2,7,8.2,8.2,6.6,8
BMW 4시리즈 컨버터블,9.7,9,8.8,9.6,9.8,8.6,9.3
BMW 4시리즈 그란쿠페,9.7,9,8.8,9.6,9.8,8.6,9.3
BMW 4시리즈,9.7,9,8.8,9.6,9.8,8.6,9.3
폭스바겐 티구안,9.2,9.1,9,9.1,9.3,9.3,9.2
폭스바겐 아테온,9.5,9.3,9.3,8.7,9.9,9.8,9.4
폭스바겐 골프 GTI,9.5,8.7,8.7,9,9.4,9.5,9.1
토요타 하이랜더 하이브리드,9.8,8.4,9.9,9.5,8.9,9.9,9.4
캐딜락 XT5,9.5,9,9.3,9,9.6,6.9,8.9
캐딜락 CT5-V,10,10,10,10,10,7.3,9.6
캐딜락 CT5,10,10,10,10,10,7.3,9.6
아우디 S8 L,10,10,10,8,10,4,8.7
현대 아반떼 N,10,9.7,9.5,8.6,9.8,7.9,9.3
메르세데스-EQ EQE SUV,9.3,7.8,9.8,9.5,7.3,9,8.8
마이브 M1,8,7.9,7.6,6.3,9.5,7.5,7.8
마세라티 콰트로포르테,9.5,7.2,8.7,8.1,9.9,6,8.2
마세라티 르반떼,9.7,7.5,8.5,9,9.8,5.9,8.4
마세라티 기블리,9.3,7.9,7.7,8.4,9.9,6.6,8.3
마세라티 MC20,5,5,5,5,5,5,5
현대 팰리세이드,9.5,8.6,9.6,9.3,9.5,7.1,8.9
KGM 티볼리 에어,9.7,7.7,6.7,8,8,7,7.9
KGM 티볼리,9.7,7.7,6.7,8,8,7,7.9
미니 해치백 S 5도어,9.5,7.8,7.2,8.5,9.8,8.3,8.5
미니 해치백 S,9.5,7.8,7.2,8.5,9.8,8.3,8.5
미니 해치백 JCW,9.5,7.8,7.2,8.5,9.8,8.3,8.5
미니 해치백 5도어,9.5,7.8,7.2,8.5,9.8,8.3,8.5
미니 해치백,9.5,7.8,7.2,8.5,9.8,8.3,8.5
미니 클럽맨 S,9.4,7.9,7.8,8.6,9.7,8.1,8.6
