이름,가격(최저가),가격(최고가),크기,연료,연비,이미지,주행,가격,거주성,품질,디자인,연비,평균점수
렉서스 LC 하이브리드,19240 ,19240 ,스포츠카 쿠페,"가솔린,하이브리드",10.9km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230518_41%2Fauto_1684372583860C5mlL_PNG%2F20230518101612_gtv2HVlE.png,10.0 ,7.5 ,10.0 ,10.0 ,10.0 ,7.0 ,9.1 
렉서스 LC 컨버터블,19050 ,19050 ,스포츠카 컨버터블,가솔린,7.5km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230518_78%2Fauto_1684372433814qTXUE_PNG%2F20230518101343_pgeYb3wG.png,10.0 ,7.5 ,9.5 ,9.8 ,9.6 ,7.0 ,8.9 
렉서스 LC,18170 ,18170 ,스포츠카 쿠페,가솔린,7.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230518_114%2Fauto_1684372269982ewiQ9_PNG%2F20230518101100_CJ95zsoF.png,10.0 ,8.0 ,6.0 ,7.0 ,8.0 ,9.8 ,8.1 
기아 K8 하이브리드,3782 ,4617 ,준대형 세단,"가솔린,하이브리드",18.0km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240130_129%2Fauto_1706580643402E44z1_PNG%2F20240130111036_y9mSwdct.png,9.6 ,8.6 ,9.6 ,9.3 ,9.4 ,9.5 ,9.3 
제네시스 GV80 쿠페,8255 ,9190 ,준대형 SUV,가솔린,8.3km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230927_152%2Fauto_1695779272489RsoQK_PNG%2F20230927104741_Va1Vfj59.png,9.7 ,7.6 ,9.9 ,9.9 ,9.9 ,5.9 ,8.8 
제네시스 GV80,6930 ,7830 ,준대형 SUV,가솔린,9.3km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230927_2%2Fauto_1695778927314tLVEB_PNG%2F20230927104158_uU3kJy3i.png,9.7 ,8.0 ,9.6 ,9.5 ,9.8 ,6.9 ,8.9 
BMW iX M60,16390 ,16390 ,준대형 SUV,전기,3.4km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_261%2Fauto_1698127469690Lq2Ob_PNG%2F20231024150416_vZdyLVFE.png,9.9 ,8.7 ,9.8 ,9.8 ,9.6 ,9.4 ,9.5 
BMW iX3,8260 ,8260 ,중형 SUV,전기,4.1km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_211%2Fauto_1698127566302stGyq_PNG%2F20231024150553_kJ47MoiO.png,10.0 ,8.4 ,9.6 ,7.5 ,8.4 ,8.9 ,8.8 
BMW iX1,6690 ,6950 ,준중형 SUV,전기,4.2km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_3%2Fauto_1698127512401gI7Ls_PNG%2F20231024150501_tRUp6iNW.png,9.8 ,8.9 ,9.4 ,9.4 ,9.9 ,8.3 ,9.3 
BMW i5 M60,13890 ,13890 ,준대형 세단,전기,3.8km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230525_300%2Fauto_16849900220572epn3_PNG%2F20230525134652_GrlcYUvl.png,7.9 ,9.6 ,9.9 ,9.9 ,9.6 ,9.9 ,9.5 
BMW i5,9390 ,10170 ,준대형 세단,전기,4.1km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230830_203%2Fauto_1693383129927vizJV_PNG%2F20230830171209_8A5ziWot.png,9.9 ,7.9 ,9.6 ,9.9 ,9.9 ,9.6 ,9.5 
BMW Z4,7450 ,9880 ,스포츠카 컨버터블,가솔린,10.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_105%2Fauto_1698128009865wFHGc_PNG%2F20231024151317_BGXYaWQI.png,9.5 ,9.3 ,7.3 ,9.4 ,9.6 ,8.4 ,8.9 
BMW X4,7210 ,10160 ,중형 SUV,가솔린,12.3km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_92%2Fauto_1698127958160JqFoc_PNG%2F20231024151227_QEth0uHF.png,9.3 ,8.4 ,8.4 ,9.3 ,9.8 ,8.0 ,8.9 
BMW X3 플러그인 하이브리드,8430 ,8840 ,중형 SUV,"전기,가솔린,하이브리드",9.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_92%2Fauto_16981279106660lUAg_PNG%2F20231024151141_xKPhq0S6.png,9.6 ,8.5 ,9.0 ,9.4 ,9.6 ,8.5 ,9.1 
BMW X3,7000 ,9890 ,중형 SUV,"가솔린, 디젤",12.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_267%2Fauto_16981278650489jvy1_PNG%2F20231024151057_BBWScL4S.png,9.6 ,8.5 ,9.4 ,9.3 ,9.6 ,8.5 ,9.2 
BMW X1,5820 ,7580 ,준중형 SUV,"가솔린,디젤",14.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_230%2Fauto_1698127815209MXrez_PNG%2F20231024151003_ur7i8wKs.png,9.7 ,6.8 ,9.6 ,9.7 ,9.9 ,8.2 ,9.0 
BMW M8 그란쿠페,24910 ,24910 ,대형 세단,가솔린,7.3km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_91%2Fauto_16981277665946020s_PNG%2F20231024150919_80NGD5WI.png,10.0 ,10.0 ,8.0 ,8.0 ,10.0 ,8.0 ,9.0 
BMW M8,24940 ,24940 ,대형 쿠페,가솔린,7.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_97%2Fauto_1698127722912jWREB_PNG%2F20231024150833_XfS1nRTD.png,10.0 ,7.0 ,8.0 ,9.0 ,7.5 ,8.6 ,8.4 
BMW M3 투어링,13820 ,13820 ,중형 왜건,가솔린,8.1km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_198%2Fauto_169812767211314NOX_PNG%2F20231024150744_U6ZbIQK8.png,9.5 ,8.0 ,8.0 ,9.0 ,8.9 ,7.0 ,8.4 
BMW M3,13770 ,13770 ,중형 세단,가솔린,8.3km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_245%2Fauto_1698127618358c2S4h_PNG%2F20231024150646_z6CRDMrv.png,9.5 ,7.0 ,8.0 ,9.0 ,8.4 ,8.0 ,8.3 
BMW 8시리즈 그란쿠페,14460 ,18160 ,대형 세단,가솔린,7.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_191%2Fauto_1698127422475yhOcJ_PNG%2F20231024150334_nukF15Fr.png,9.9 ,9.0 ,9.1 ,9.7 ,9.8 ,7.6 ,9.2 
BMW 8시리즈,14850 ,14850 ,대형 쿠페,가솔린,7.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_206%2Fauto_1698127380419JW0Uw_PNG%2F20231024150247_Tvb9ZxkE.png,9.9 ,8.0 ,9.7 ,9.8 ,9.9 ,7.5 ,9.1 
BMW 7시리즈 플러그인 하이브리드,19980 ,20280 ,대형 세단,"전기,가솔린,하이브리드",15.0km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231017_137%2Fauto_1697507544254lH2jl_PNG%2F20231017105209_ExiNfxKV.png,7.9 ,8.6 ,9.6 ,8.4 ,7.9 ,9.5 ,8.7 
BMW 7시리즈,14990 ,17490 ,대형 세단,"가솔린,디젤",12.5km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231017_98%2Fauto_1697507349507k65X7_PNG%2F20231017104843_nwv0XQCJ.png,9.3 ,9.7 ,9.9 ,9.8 ,9.7 ,9.3 ,9.6 
BMW 6시리즈 그란투리스모,8650 ,11550 ,준대형 해치백,"가솔린,디젤",13.5km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_65%2Fauto_1698127322546o5KVA_PNG%2F20231024150153_LSLNNS9a.png,9.6 ,8.9 ,9.8 ,9.6 ,8.4 ,8.6 ,9.2 
BMW 5시리즈,6880 ,8870 ,준대형 세단,"가솔린,디젤",14.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230525_138%2Fauto_1684988645573RRixD_PNG%2F20230525132352_ABIlKG0U.png,8.9 ,8.1 ,8.7 ,8.7 ,8.9 ,9.8 ,8.9 
BMW 3시리즈 투어링,6010 ,8910 ,중형 왜건,"가솔린,디젤",14.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_166%2Fauto_1698127270509B1pr9_PNG%2F20231024150100_3C93bajV.png,9.8 ,8.5 ,8.6 ,9.4 ,9.7 ,8.6 ,9.1 
BMW 3시리즈,5700 ,8620 ,중형 세단,"가솔린,디젤",15.0km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_190%2Fauto_1698127220979ytYNq_PNG%2F20231024150013_xsuj1FHc.png,9.8 ,8.7 ,8.5 ,8.0 ,9.0 ,8.7 ,8.8 
BMW 2시리즈 액티브 투어러,4560 ,5140 ,준중형 RV,"가솔린,디젤",15.8km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_65%2Fauto_1698127174901825rj_PNG%2F20231024145926_2U2cEmZm.png,9.2 ,9.1 ,9.1 ,9.2 ,8.8 ,8.9 ,9.1 
BMW 2시리즈 그란쿠페,4960 ,6430 ,준중형 세단,가솔린,11.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_291%2Fauto_1698127128060QrAju_PNG%2F20231024145839_yfrHUrlx.png,9.7 ,8.8 ,7.9 ,9.2 ,9.5 ,8.8 ,9.0 
BMW 1시리즈,4730 ,6260 ,준중형 해치백,가솔린,11.0km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231024_174%2Fauto_1698127069433PPmCw_PNG%2F20231024145741_7uNuS6Lk.png,9.6 ,8.6 ,8.3 ,9.3 ,9.4 ,8.7 ,9.0 
롤스로이스 스펙터,62200 ,62200 ,대형 쿠페,전기,3.2km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230629_70%2Fauto_16880138492657dyx5_PNG%2F20230629134407_QcVnj3k5.png,9.8 ,9.4 ,8.6 ,8.5 ,9.1 ,7.1 ,8.8 
혼다 CR-V 하이브리드,5240 ,5590 ,준중형 SUV,"가솔린,하이브리드",15.1km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220714_49%2Fauto_165776162686728Ygt_PNG%2F20220714102015_mNqIFPzJ.png,7.9 ,8.9 ,8.9 ,8.4 ,8.6 ,8.0 ,8.5 
토요타 알파드 하이브리드,9920 ,9920 ,준대형 RV,"가솔린,하이브리드",13.5km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230918_203%2Fauto_1694998237401bgYeK_PNG%2F20230918095030_mkJCO23M.png,9.8 ,8.0 ,9.9 ,9.8 ,9.6 ,9.5 ,9.4 
KGM 토레스 EVX,4438 ,4760 ,중형 SUV,전기,5.0km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230920_289%2Fauto_1695172150502OdSCq_PNG%2F20230920100904_4EKZasjQ.png,8.4 ,8.5 ,9.7 ,8.3 ,8.6 ,8.4 ,8.7 
캠시스 CEVO-C SE,1690 ,1690 ,경형 해치백,전기,6.3km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230911_242%2Fauto_16944065557452uMcS_PNG%2F20230911132909_PJFpFh66.png,9.1 ,8.6 ,9.2 ,9.4 ,8.9 ,9.7 ,9.2 
현대 아이오닉 6,5200 ,6370 ,중형 세단,전기,6.2km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230908_217%2Fauto_1694135756106J5hy9_PNG%2F20230908101550_JTpOT4mF.png,7.5 ,9.0 ,8.9 ,8.7 ,9.3 ,9.7 ,8.9 
볼보 XC60 플러그인 하이브리드,8640 ,8640 ,중형 SUV,"전기,가솔린,하이브리드",11.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230915_221%2Fauto_1694749679376xXSzo_PNG%2F20230915124746_PH5KnZrn.png,10.0 ,7.4 ,9.9 ,9.9 ,10.0 ,9.8 ,9.5 
볼보 XC40 리차지,6769 ,6769 ,준중형 SUV,전기,4.4km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230901_27%2Fauto_1693534563308DOHUO_PNG%2F20230901111548_SdpcQPZB.png,9.9 ,8.7 ,9.8 ,9.4 ,10.0 ,7.5 ,9.2 
볼보 XC40,4920 ,5430 ,준중형 SUV,가솔린,10.6km/ℓ ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230901_27%2Fauto_1693534563308DOHUO_PNG%2F20230901111548_SdpcQPZB.png,9.2 ,8.8 ,9.0 ,9.3 ,9.8 ,7.0 ,8.9 
볼보 V90 크로스 컨트리,7250 ,7820 ,준대형 왜건,가솔린,11.0km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230925_93%2Fauto_16956182766905da0z_PNG%2F20230925140423_fKGLUZDM.png,9.5 ,8.9 ,9.6 ,9.5 ,9.8 ,8.1 ,9.2 
볼보 V60 크로스 컨트리,5630 ,6260 ,중형왜건,가솔린,10.4km/ℓ ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230925_231%2Fauto_1695617607214zNobD_PNG%2F20230925135314_YT3OMZeP.png,9.4 ,9.4 ,9.3 ,9.4 ,9.8 ,7.2 ,9.1 
메르세데스-벤츠 S클래스,15950 ,24750 ,대형 세단,"가솔린,디젤",12.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231010_99%2Fauto_1696902940151g19Vm_PNG%2F20231010105527_W5qmO3Ns.png,8.8 ,8.5 ,8.9 ,9.4 ,7.6 ,7.2 ,8.4 
메르세데스-벤츠 마이바흐 S클래스,30000 ,38150 ,대형 세단,가솔린,8.1km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231010_138%2Fauto_1696902402861FbEuc_PNG%2F20231010104631_wJNtecdI.png,8.9 ,8.4 ,9.9 ,8.7 ,8.4 ,8.3 ,8.8 
기아 레이 EV,2735 ,2955 ,경형 RV,전기,5.1km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231201_224%2Fauto_1701391683961DFFo2_PNG%2F20231201094756_SJBb34H5.png,9.6 ,9.2 ,9.8 ,9.5 ,9.7 ,8.0 ,9.3 
애스턴마틴 DB11 볼란테,28000 ,28000 ,스포트카 컨버터블,가솔린,10.0km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240213_218%2Fauto_1707800113768XLeaD_PNG%2F20240213135501_4PkjvGfc.png,8.6 ,9.5 ,7.5 ,9.6 ,8.3 ,9.0 ,8.8 
현대 아이오닉 5 N,7600 ,7600 ,준중형 SUV,전기,3.7km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230904_240%2Fauto_1693799369221vvSdc_PNG%2F20230904124922_DRJxv7dm.png,8.1 ,8.0 ,9.5 ,9.4 ,7.2 ,8.1 ,8.4 
포르쉐 카이엔 쿠페,13780 ,26190 ,준대형 SUV,가솔린,7.5km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230817_127%2Fauto_1692239406399dUekQ_PNG%2F20230817112954_QTD8q41H.png,9.5 ,7.7 ,9.1 ,9.2 ,9.7 ,7.3 ,8.8 
포르쉐 카이엔,13310 ,13310 ,준대형 SUV,가솔린,7.5km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230817_154%2Fauto_16922391778562Nt8G_PNG%2F20230817112604_6nlE9tp0.png,9.5 ,7.7 ,9.1 ,9.2 ,9.7 ,7.3 ,8.8 
기아 쏘렌토 하이브리드,3786 ,4831 ,중형 SUV,"가솔린,하이브리드",15.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231012_167%2Fauto_1697073732698F4FU5_PNG%2F20231012102206_JNaydhUA.png,9.3 ,7.5 ,9.4 ,9.0 ,9.6 ,9.0 ,9.0 
기아 쏘렌토,3506 ,4598 ,중형 SUV,"가솔린,디젤",14.3km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231012_79%2Fauto_1697073709680kkdYi_PNG%2F20231012102142_Lw0IdkkM.png,9.5 ,7.3 ,9.2 ,8.9 ,9.6 ,5.8 ,8.4 
현대 싼타페 하이브리드,3888 ,5036 ,중형 SUV,"가솔린,하이브리드",15.5km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230816_90%2Fauto_1692166801616Un6vw_PNG%2F20230816151955_MF1Lkv0d.png,9.3 ,7.9 ,9.6 ,9.1 ,8.8 ,9.0 ,9.0 
현대 싼타페,3546 ,4596 ,중형 SUV,가솔린,11.0km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230816_199%2Fauto_1692166776091sGX6y_PNG%2F20230816151929_CUU35t6z.png,9.5 ,8.4 ,9.6 ,9.2 ,8.9 ,6.8 ,8.7 
볼보 XC60,6390 ,7400 ,중형 SUV,가솔린,10.1km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230818_263%2Fauto_1692336856495LkJrF_PNG%2F20230818143408_PHdxGgBn.png,8.9 ,9.4 ,9.5 ,9.8 ,9.8 ,8.3 ,9.3 
볼보 S60,5640 ,5640 ,중형 세단,가솔린,11.8km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230821_109%2Fauto_1692602100686NDaI5_PNG%2F20230821161452_WcxbxqQI.png,9.6 ,9.5 ,9.4 ,9.5 ,9.8 ,7.8 ,9.3 
볼보 C40 리차지,6865 ,6865 ,준중형 SUV,전기,4.6km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230804_103%2Fauto_1691131545925pQU5d_PNG%2F20230804154534_CwbrqVEs.png,9.8 ,8.7 ,8.8 ,9.5 ,9.9 ,8.1 ,9.1 
메르세데스-벤츠 GLE클래스,11400 ,13430 ,준대형 SUV,"가솔린,디젤",11.4km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230201_229%2Fauto_1675229032734kWcyh_PNG%2F20230201142339_wFPMwL6T.png,9.0 ,8.0 ,9.8 ,9.4 ,9.1 ,8.7 ,9.0 
메르세데스-벤츠 GLE 쿠페,13700 ,13700 ,준대형 SUV,디젤,10.4km/ℓ ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230201_98%2Fauto_1675228763870Ef3Xw_PNG%2F20230201141913_laWu9iya.png,9.5 ,8.1 ,9.5 ,9.3 ,9.7 ,8.7 ,9.1 
메르세데스-벤츠 AMG GLE클래스,15500 ,15500 ,준대형 SUV,가솔린,8.0km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230201_151%2Fauto_1675228124889QAgNh_PNG%2F20230201140833_fA9dlkUY.png,9.1 ,9.2 ,9.6 ,8.9 ,8.5 ,9.0 ,9.1 
메르세데스-벤츠 AMG GLE 쿠페,15900 ,15900 ,준대형 SUV,가솔린,8.0km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230201_65%2Fauto_1675227524212QiR34_PNG%2F20230201135832_1QL9Tlxg.png,9.8 ,9.5 ,9.7 ,8.9 ,8.5 ,7.9 ,9.1 
기아 K8,3299 ,4624 ,준대형 세단,"LPG,가솔린",12.0km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231010_88%2Fauto_1696901746933t81x0_PNG%2F20231010103540_LCLf8jin.png,9.3 ,8.8 ,9.5 ,9.1 ,9.4 ,8.0 ,9.0 
BMW X6 M,19390 ,19390 ,준대형 SUV,가솔린,7km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230222_27%2Fauto_1677030278473o07Pd_PNG%2F20230222104423_RKuCeJrt.png,10.0 ,8.9 ,8.0 ,9.6 ,9.9 ,5.6 ,8.7 
BMW X5 M,18990 ,18990 ,준대형 SUV,가솔린 ,6.9km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230222_294%2Fauto_16770300155872Q6Fw_PNG%2F20230222104006_R09fl72z.png,9.8 ,7.8 ,8.5 ,8.8 ,9.7 ,6.0 ,8.4 
푸조 508,4590 ,4990 ,중형 세단,디젤 ,17.2km/ℓ ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230829_119%2Fauto_1693275326965QRMuR_PNG%2F20230829111515_0y1aptk9.png,9.6 ,9.0 ,8.3 ,8.6 ,9.8 ,9.6 ,9.2 
애스턴마틴 밴티지,21500 ,21500 ,스포츠카 쿠페,가솔린,9.7km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240213_38%2Fauto_1707800377574EhGVy_PNG%2F20240213135924_DI9WMjWd.png,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 
아우디 Q4 스포트백 e-트론,6570 ,7270 ,준중형 SUV,전기,4.8km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230619_242%2Fauto_1687139079876HsQrT_PNG%2F20230619104421_SFDIniwM.png,9.7 ,8.5 ,9.6 ,9.2 ,9.9 ,9.4 ,9.4 
아우디 Q4 e-트론,6170 ,6870 ,준중형 SUV,전기 ,4.7km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230619_105%2Fauto_1687138951467LsBeI_PNG%2F20230619104221_02Lvc0JO.png,9.7 ,8.5 ,9.6 ,9.2 ,9.9 ,9.4 ,9.4 
포르쉐 타이칸 크로스투리스모,14410 ,21220 ,준대형 왜건,전기,2.9km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_174%2Fauto_16971829788882vx9b_PNG%2F20231013164244_CWdX6P7Y.png,9.9 ,7.8 ,9.0 ,9.3 ,9.9 ,8.6 ,9.1 
포르쉐 타이칸 GTS,18750 ,18750 ,준대형 세단,전기 ,3.2km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_13%2Fauto_1697182511330yiWXi_PNG%2F20231013163502_t2SxJ8qo.png,9.9 ,9.9 ,7.8 ,9.0 ,9.9 ,8.6 ,9.2 
포르쉐 타이칸,12990 ,24740 ,준대형 세단,전기 ,3.1km/kWh,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_94%2Fauto_1697182332317AqKiH_PNG%2F20231013163159_8UtySDAP.png,9.9 ,7.8 ,9.0 ,9.3 ,9.9 ,8.6 ,9.1 
포르쉐 카이맨 GTS,13050 ,13050 ,스포츠카 쿠페,가솔린,8.4km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_139%2Fauto_16971815965932C7Xi_PNG%2F20231013161939_m3B9KCk4.png,9.8 ,9.0 ,6.6 ,9.6 ,9.9 ,8.7 ,8.9 
포르쉐 박스터 GTS,13530 ,13530 ,스포츠카 컨버터블,가솔린,8.4km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_277%2Fauto_1697181731940PNWrb_PNG%2F20231013162202_BPmTUflU.png,9.8 ,9.2 ,7.3 ,9.4 ,9.8 ,8.1 ,8.9 
포르쉐 마칸 GTS,12700 ,12700 ,중형 SUV,가솔린,7.6km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_67%2Fauto_1697181326489L6dTR_PNG%2F20231013161519_dq0NmpMa.png,9.7 ,8.6 ,9.0 ,9.5 ,9.8 ,8.4 ,9.2 
포르쉐 마칸,10780 ,10780 ,중형 SUV,가솔린 ,7.8km/ℓ,https://search.pstatic.net/common?quality=75&amp;direct=true&amp;src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_234%2Fauto_1697181233702MfAfe_PNG%2F20231013161343_MNqrhYFy.png,9.7 ,8.6 ,9.0 ,9.5 ,9.8 ,8.4 ,9.2 
